address,tooltip,url,value
"4865 East First St., Los Angeles, 90022","Morris K. Hamasaki Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/morris-k-hamasaki-elementary/,1
"7510 Desoto Ave., Canoga Park, 91303","Multicultural Learning Center - 1",http://projects.latimes.com/value-added/school/canoga-park/multicultural-learning-center/,1
"1501 Murchison St., Los Angeles, 90033","Murchison Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/murchison-street-elementary/,1
"1569 East 32nd St., Los Angeles, 90011","Nevin Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/nevin-avenue-elementary/,1
"1109 West 96th St., Los Angeles, 90044","Ninety-Fifth Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/ninety-fifth-street-elementary/,1
"1471 East 96th St., Los Angeles, 90002","Ninety-Sixth Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/ninety-sixth-street-elementary/,1
"330 East 93rd St., Los Angeles, 90003","Ninety-Third Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/ninety-third-street-elementary/,1
"1001 West 253rd St., Harbor City, 90710","Normont Elementary - 1",http://projects.latimes.com/value-added/school/harbor-city/normont-elementary/,1
"1605 West 153rd St., Gardena, 90247","One Hundred Fifty-Third Street - 1",http://projects.latimes.com/value-added/school/gardena/one-hundred-fifty-third-street/,1
"147 East 107th St., Los Angeles, 90003","One Hundred Seventh Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/one-hundred-seventh-street-elementary/,1
"10912 Oxnard St., North Hollywood, 91606","Oxnard Street Elementary - 1",http://projects.latimes.com/value-added/school/north-hollywood/oxnard-street-elementary/,1
"11016 Norris Ave., Pacoima, 91331","Pacoima Charter Elementary - 1",http://projects.latimes.com/value-added/school/pacoima/pacoima-charter-elementary/,1
"8020 Park Ave., Cudahy, 90201","Park Avenue Elementary - 1",http://projects.latimes.com/value-added/school/cudahy/park-avenue-elementary/,1
"7751 Paseo del Rey, Playa del Rey, 90293","Paseo del Rey Fundamental - 1",http://projects.latimes.com/value-added/school/playa-del-rey/paseo-del-rey-fundamental/,1
"3333 Kerckhoff Ave., San Pedro, 90731","Point Fermin Elementary - 1",http://projects.latimes.com/value-added/school/san-pedro/point-fermin-elementary/,1
"1465 West 243rd St., Harbor City, 90710","President Avenue Elementary - 1",http://projects.latimes.com/value-added/school/harbor-city/president-avenue-elementary/,1
"13210 Purche Ave., Gardena, 90249","Purche Avenue Elementary - 1",http://projects.latimes.com/value-added/school/gardena/purche-avenue-elementary/,1
"7511 Raymond Ave., Los Angeles, 90044","Raymond Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/raymond-avenue-elementary/,1
"11108 Watts Ave., Los Angeles, 90059","Ritter Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/ritter-elementary/,1
"8855 Noble Ave., North Hills, 91343","Rosa Parks Learning Center - 1",http://projects.latimes.com/value-added/school/north-hills/rosa-parks-learning-center/,1
"421 North Rosemont Ave., Los Angeles, 90026","Rosemont Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/rosemont-avenue-elementary/,1
"1263 East Firestone Blvd., Los Angeles, 90001","Russell Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/russell-elementary/,1
"8628 San Gabriel Ave., South Gate, 90280","San Gabriel Avenue Elementary - 1",http://projects.latimes.com/value-added/school/south-gate/san-gabriel-avenue-elementary/,1
"1022 North Van Ness Ave., Los Angeles, 90038","Santa Monica Boulevard Community Charter - 1",http://projects.latimes.com/value-added/school/los-angeles/santa-monica-boulevard-community-charter/,1
"2112 West 74th St., Los Angeles, 90047","Seventy-Fourth Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/seventy-fourth-street-elementary/,1
"19452 Hart St., Reseda, 91335","Shirley Avenue Elementary - 1",http://projects.latimes.com/value-added/school/reseda/shirley-avenue-elementary/,1
"3109 Sixth Ave., Los Angeles, 90018","Sixth Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/sixth-avenue-elementary/,1
"1020 South Soto St., Los Angeles, 90023","Soto Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/soto-street-elementary/,1
"11735 Braddock Dr., Culver City, 90230","Stoner Avenue Elementary - 1",http://projects.latimes.com/value-added/school/culver-city/stoner-avenue-elementary/,1
"13291 Phillippi Ave., Sylmar, 91342","Sylmar Elementary - 1",http://projects.latimes.com/value-added/school/sylmar/sylmar-elementary/,1
"1824 Taper Ave., San Pedro, 90731","Taper Avenue Elementary - 1",http://projects.latimes.com/value-added/school/san-pedro/taper-avenue-elementary/,1
"9815 Topeka Dr., Northridge, 91324","Topeka Drive Elementary - 1",http://projects.latimes.com/value-added/school/northridge/topeka-drive-elementary/,1
"3736 Trinity St., Los Angeles, 90011","Trinity Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/trinity-street-elementary/,1
"9724 Pinehurst Ave., South Gate, 90280","Tweedy Elementary - 1",http://projects.latimes.com/value-added/school/south-gate/tweedy-elementary/,1
"255 Gabriel Garcia Marquez St., Los Angeles, 90033","Utah Street Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/utah-street-elementary/,1
"6701 Balboa Blvd., Van Nuys, 91406","Valley Alternative Magnet - 1",http://projects.latimes.com/value-added/school/van-nuys/valley-alternative-magnet/,1
"13330 Vaughn St., San Fernando, 91340","Vaughn Next Century Learning Center - 1",http://projects.latimes.com/value-added/school/san-fernando/vaughn-next-century-learning-center/,1
"981 East 41st St., Los Angeles, 90011","Wadsworth Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/wadsworth-avenue-elementary/,1
"1110 West 119th St., Los Angeles, 90044","West Athens Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/west-athens-elementary/,1
"1724 West 53rd St., Los Angeles, 90062","Western Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/western-avenue-elementary/,1
"1010 Abbott Kinney Blvd., Venice, 90291","Westminster Avenue Elementary - 1",http://projects.latimes.com/value-added/school/venice/westminster-avenue-elementary/,1
"104 Anchorage St., Marina del Rey, 90292","Westside Leadership Magnet - 1",http://projects.latimes.com/value-added/school/marina-del-rey/westside-leadership-magnet/,1
"4312 South Grand Ave., Los Angeles, 90037","West Vernon Avenue Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/west-vernon-avenue-elementary/,1
"5213 Crebs Ave., Tarzana, 91356","Wilbur Avenue Elementary - 1",http://projects.latimes.com/value-added/school/tarzana/wilbur-avenue-elementary/,1
"5241 West Olympic Blvd., Los Angeles, 90036","Wilshire Crest Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/wilshire-crest-elementary/,1
"1151 West 109th St., Los Angeles, 90044","Woodcrest Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/woodcrest-elementary/,1
"5657 Meridian St., Los Angeles, 90042","Yorkdale Elementary - 1",http://projects.latimes.com/value-added/school/los-angeles/yorkdale-elementary/,1
"4211 Oakwood Ave., Los Angeles, 90004","Alexandria Avenue Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/alexandria-avenue-elementary/,2
"10126 Encino Ave., Northridge, 91325","Andasol Avenue Elementary - 2",http://projects.latimes.com/value-added/school/northridge/andasol-avenue-elementary/,2
"10233 Woodward Ave., Sunland, 91040","Apperson Street Elementary - 2",http://projects.latimes.com/value-added/school/sunland/apperson-street-elementary/,2
"1717 Seventh Ave., Los Angeles, 90019","Arlington Heights Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/arlington-heights-elementary/,2
"15756 Bassett St., Van Nuys, 91406","Bassett Street Elementary - 2",http://projects.latimes.com/value-added/school/van-nuys/bassett-street-elementary/,2
"9757 Beachy Ave., Arleta, 91331","Beachy Avenue Elementary - 2",http://projects.latimes.com/value-added/school/arleta/beachy-avenue-elementary/,2
"19130 Tulsa St., Northridge, 91326","Beckford Avenue Elementary - 2",http://projects.latimes.com/value-added/school/northridge/beckford-avenue-elementary/,2
"1771 West 36th St., Los Angeles, 90018","Birdielee V. Bright Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/birdielee-v-bright-elementary/,2
"2226 East Third St., Los Angeles, 90033","Breed Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/breed-street-elementary/,2
"5024 Buchanan St., Los Angeles, 90042","Buchanan Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/buchanan-street-elementary/,2
"5940 South Budlong Ave., Los Angeles, 90044","Budlong Avenue Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/budlong-avenue-elementary/,2
"13670 Montague St., Pacomia, 91331","Canterbury Avenue Elementary - 2",http://projects.latimes.com/value-added/school/pacomia/canterbury-avenue-elementary/,2
"23536 Catskill Ave., Carson, 90745","Catskill Avenue Elementary - 2",http://projects.latimes.com/value-added/school/carson/catskill-avenue-elementary/,2
"2611 South Orange Dr., Los Angeles, 90016","Cienega Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/cienega-elementary/,2
"11559 Cimarron Ave., Hawthorne, 90250","Cimarron Avenue Elementary - 2",http://projects.latimes.com/value-added/school/hawthorne/cimarron-avenue-elementary/,2
"15810 Saticoy St., Van Nuys, 91406","Cohasset Elementary - 2",http://projects.latimes.com/value-added/school/van-nuys/cohasset-street-elementary/,2
"6850 Coldwater Canyon Ave., North Hollywood, 91605","Coldwater Canyon Elementary - 2",http://projects.latimes.com/value-added/school/north-hollywood/coldwater-canyon-elementary/,2
"1661 South Crescent Heights, Los Angeles, 90035","Crescent Heights Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/crescent-heights-boulevard-elementary/,2
"607 North Westmoreland Ave., Los Angeles, 90004","Dayton Heights Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/dayton-heights-elementary/,2
"22526 Dolores St., Carson, 90745","Dolores Street Elementary - 2",http://projects.latimes.com/value-added/school/carson/dolores-street-elementary/,2
"2225 Dorris Pl., Los Angeles, 90031","Dorris Place Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/dorris-place-elementary/,2
"4112 East Olympic Blvd., Los Angeles, 90023","Eastman Avenue Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/eastman-avenue-elementary/,2
"4811 Elizabeth St., Cudahy, 90201","Elizabeth Learning Center - 2",http://projects.latimes.com/value-added/school/cudahy/elizabeth-learning-center/,2
"5027 Live Oak St., Bell, 90201","Ellen Ochoa Learning Center - 2",http://projects.latimes.com/value-added/school/bell/ellen-ochoa-learning-center/,2
"309 Lucas Ave., Los Angeles, 90017","Evelyn Thurman Gratts Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/evelyn-thurman-gratts-elementary/,2
"5501 South Eileen Ave., Los Angeles, 90043","Fifty-Fourth Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/fifty-fourth-street-elementary/,2
"816 West 51st St., Los Angeles, 90037","Fifty-Second Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/fifty-second-street-elementary/,2
"2820 East First St., Los Angeles, 90033","First Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/first-street-elementary/,2
"750 East 49th St., Los Angeles, 90011","Forty-Ninth Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/forty-ninth-street-elementary/,2
"100 North New Hampshire Ave., Los Angeles, 90004","Frank Del Olmo Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/frank-del-olmo-elementary/,2
"631 Commonwealth Ave., Los Angeles, 90005","Gabriella Charter - 2",http://projects.latimes.com/value-added/school/los-angeles/gabriella-charter/,2
"3410 Sierra St., Los Angeles, 90031","Glen Alta Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/glen-alta-elementary/,2
"8407 South Fir Ave., Los Angeles, 90001","Graham Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/graham-elementary/,2
"3951 Grand View Blvd., Los Angeles, 90066","Grand View Boulevard Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/grand-view-boulevard-elementary/,2
"1530 North Wilton Pl., Los Angeles, 90028","Grant Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/grant-elementary-5/,2
"2025 Griffin Ave., Los Angeles, 90031","Griffin Avenue Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/griffin-avenue-elementary/,2
"10115 Haddon Ave., Pacoima, 91331","Haddon Avenue Elementary - 2",http://projects.latimes.com/value-added/school/pacoima/haddon-avenue-elementary/,2
"1508 West 254th St., Harbor City, 90710","Harbor City Elementary - 2",http://projects.latimes.com/value-added/school/harbor-city/harbor-city-elementary/,2
"7150 Hazeltine Ave., Van Nuys, 91405","Hazeltine Avenue Elementary - 2",http://projects.latimes.com/value-added/school/van-nuys/hazeltine-avenue-elementary/,2
"120 East Avenue 35, Los Angeles, 90031","Hillside Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/hillside-elementary-1/,2
"1225 East 52nd St., Los Angeles, 90011","Hooper Avenue Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/hooper-avenue-elementary/,2
"13325 Hubbard St., Sylmar, 91342","Hubbard Street Elementary - 2",http://projects.latimes.com/value-added/school/sylmar/hubbard-street-elementary/,2
"4435 North Huntington Dr., Los Angeles, 90032","Huntington Drive Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/huntington-drive-elementary/,2
"3020 South Catalina St., Los Angeles, 90007","John W. Mack Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/john-w-mack-elementary/,2
"8401 Emerson Ave., Los Angeles, 90045","Kentwood Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/kentwood-elementary/,2
"8817 Langdon Ave., Sepulveda, 91343","Langdon Avenue Elementary - 2",http://projects.latimes.com/value-added/school/sepulveda/langdon-avenue-elementary/,2
"925 North Hayworth Ave., Los Angeles, 90046","Laurel Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/laurel-elementary-3/,2
"8530 Limerick Ave., Canoga Park, 91306","Limerick Avenue Elementary - 2",http://projects.latimes.com/value-added/school/canoga-park/limerick-avenue-elementary/,2
"1711 West Montana St., Los Angeles, 90026","Logan Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/logan-street-elementary/,2
"3629 East 58th St., Maywood, 90270","Loma Vista Elementary - 2",http://projects.latimes.com/value-added/school/maywood/loma-vista-elementary-1/,2
"8821 Villanova Ave., Los Angeles, 90045","Loyola Village Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/loyola-village-elementary/,2
"661 West 87th St., Los Angeles, 90044","Manchester Avenue Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/manchester-avenue-elementary/,2
"1511 Micheltorena St., Los Angeles, 90026","Micheltorena Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/micheltorena-street-elementary/,2
"3150 West Adams Blvd., Los Angeles, 90018","Mid City Magnet - 2",http://projects.latimes.com/value-added/school/los-angeles/mid-city-magnet/,2
"144 East 118th St., Los Angeles, 90061","One Hundred Eighteenth Street - 2",http://projects.latimes.com/value-added/school/los-angeles/one-hundred-eighteenth-street/,2
"405 East 122nd St., Los Angeles, 90061","One Hundred Twenty-Second Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/one-hundred-twenty-second-street-elementary/,2
"2660 East 57th St., Huntington Park, 90255","Pacific Boulevard - 2",http://projects.latimes.com/value-added/school/huntington-park/pacific-boulevard/,2
"16825 Napa St., Sepulveda, 91343","Parthenia Street Elementary - 2",http://projects.latimes.com/value-added/school/sepulveda/parthenia-street-elementary/,2
"12221 Juniette St., Culver City, 90230","Playa del Rey Elementary - 2",http://projects.latimes.com/value-added/school/culver-city/playa-del-rey-elementary/,2
"7940 Ranchito Ave., Panorama City, 91402","Ranchito Avenue Elementary - 2",http://projects.latimes.com/value-added/school/panorama-city/ranchito-avenue-elementary/,2
"13061 Riverside Dr., Sherman Oaks, 91423","Riverside Drive Elementary - 2",http://projects.latimes.com/value-added/school/sherman-oaks/riverside-drive-elementary/,2
"10765 Strathern St., Sun Valley, 91352","Roscoe Elementary - 2",http://projects.latimes.com/value-added/school/sun-valley/roscoe-elementary/,2
"6222 State St., Huntington Park, 90255","San Antonio Elementary - 2",http://projects.latimes.com/value-added/school/huntington-park/san-antonio-elementary/,2
"815 San Pascual Ave., Los Angeles, 90042","San Pascual Avenue Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/san-pascual-avenue-elementary/,2
"5360 Saturn St., Los Angeles, 90019","Saturn Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/saturn-street-elementary/,2
"1942 East Second St., Los Angeles, 90033","Second Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/second-street-elementary/,2
"6611 Selma Ave., Los Angeles, 90028","Selma Avenue Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/selma-avenue-elementary/,2
"13800 Pierce St., Arleta, 91331","Sharp Avenue Elementary - 2",http://projects.latimes.com/value-added/school/arleta/sharp-avenue-elementary/,2
"14755 Greenleaf St., Sherman Oaks, 91403","Sherman Oaks Elementary - 2",http://projects.latimes.com/value-added/school/sherman-oaks/sherman-oaks-elementary/,2
"12814 Maxella Ave., Los Angeles, 90066","Short Avenue Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/short-avenue-elementary/,2
"3170 Budau Ave., Los Angeles, 90032","Sierra Park Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/sierra-park-elementary/,2
"4342 Alpha St., Los Angeles, 90032","Sierra Vista Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/sierra-vista-elementary-3/,2
"612 West 68th St., Los Angeles, 90044","Sixty-Eighth Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/sixty-eighth-street-elementary/,2
"6020 South Figueroa St., Los Angeles, 90003","Sixty-First Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/sixty-first-street-elementary/,2
"2833 Illinois Ave., South Gate, 90280","Stanford Avenue Elementary - 2",http://projects.latimes.com/value-added/school/south-gate/stanford-avenue-elementary-1/,2
"3211 Santa Ana St., South Gate, 90280","State Street Elementary - 2",http://projects.latimes.com/value-added/school/south-gate/state-street-elementary/,2
"7939 St. Clair Ave., North Hollywood, 91605","Strathern Street Elementary - 2",http://projects.latimes.com/value-added/school/north-hollywood/strathern-street-elementary/,2
"2821 East Seventh St., Los Angeles, 90023","Sunrise Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/sunrise-elementary/,2
"6238 Noble Ave., Van Nuys, 91411","Sylvan Park Elementary - 2",http://projects.latimes.com/value-added/school/van-nuys/sylvan-park-elementary/,2
"10975 Telfair Ave., Pacoima, 91331","Telfair Avenue Elementary - 2",http://projects.latimes.com/value-added/school/pacoima/telfair-avenue-elementary/,2
"201 South June St., Los Angeles, 90004","Third Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/third-street-elementary/,2
"3875 Dublin Ave., Los Angeles, 90008","Tom Bradley Environmental Science and Humanities C - 2",http://projects.latimes.com/value-added/school/los-angeles/tom-bradley-environmental-science-and-humanities-c/,2
"18924 Towne Ave., Carson, 90746","Towne Avenue Elementary - 2",http://projects.latimes.com/value-added/school/carson/towne-avenue-elementary/,2
"1353 East 20th St., Los Angeles, 90011","Twentieth Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/twentieth-street-elementary/,2
"2807 Stanford Ave., Los Angeles, 90011","Twenty-Eighth Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/twenty-eighth-street-elementary/,2
"2055 West 24th St., Los Angeles, 90018","Twenty-Fourth Street Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/twenty-fourth-street-elementary/,2
"23240 Archibald Ave., Carson, 90745","Two Hundred Thirty-Second Place - 2",http://projects.latimes.com/value-added/school/carson/two-hundred-thirty-second-place/,2
"19019 Delano St., Reseda, 91335","Vanalden Avenue Elementary - 2",http://projects.latimes.com/value-added/school/reseda/vanalden-avenue-elementary/,2
"9377 Vena Ave., Arleta, 91331","Vena Avenue Elementary - 2",http://projects.latimes.com/value-added/school/arleta/vena-avenue-elementary/,2
"1435 West 27th St., Los Angeles, 90007","Vermont Avenue Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/vermont-avenue-elementary/,2
"2360 East Vernon Ave., Los Angeles, 90058","Vernon City Elementary - 2",http://projects.latimes.com/value-added/school/los-angeles/vernon-city-elementary/,2
"1410 Silvius Ave., San Pedro, 90731","White Point Elementary - 2",http://projects.latimes.com/value-added/school/san-pedro/white-point-elementary/,2
"1140 Mahar Ave., Wilmington, 90744","Wilmington Park Elementary - 2",http://projects.latimes.com/value-added/school/wilmington/wilmington-park-elementary/,2
"5215 Overdale Dr., Los Angeles, 90043","Windsor Hills Math Science - 2",http://projects.latimes.com/value-added/school/los-angeles/windsor-hills-math-science/,2
